Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
802,Legend Maps: Founder Maps,ETH,"1,437.97",-62.90%,-35.90%,0.14,1.7K,5.8K
803,FancyBirds,ETH,"1,436.90",23.65%,-34.06%,0.17,1.7K,8.9K
804,SandVegasCasinoClub Official,ETH,"1,431.45",-59.82%,-5.89%,0.34,4.3K,11.1K
805,CryptoBots,ETH,"1,428.62",null,-75.20%,0.22,2.3K,10.0K
806,FUR BRAWLS - Light Bunnies,ETH,"1,427.15",-100.00%,173.26%,0.02,1.7K,4.5K
807,Astro Frens,ETH,"1,422.46",5.36%,72.40%,0.02,3.1K,9.9K
808,Lunar Moon Plots,ETH,"1,421.56",null,null,3.97,173,239
809,Hall Of Fame Goat Lodge,ETH,"1,409.60",30.89%,197.18%,0.06,3.1K,10.0K
810,Lil Baby Ape Club,ETH,"1,400.03",-25.12%,-2.54%,0.05,2.3K,5.0K
811,Humans Metaverse,ETH,"1,392.81",-6.13%,-38.14%,0.08,2.6K,6.5K
812,OctoHedz,ETH,"1,387.59",null,-9.86%,0.44,344,888
813,ENCODE Graphics,ETH,"1,385.39",null,74.45%,0.15,583,1.5K
814,Queens+Kings,ETH,"1,383.07",77.16%,100.71%,0.18,2.6K,6.9K
815,Cameo Pass,ETH,"1,380.81",-13.39%,102.77%,0.18,2.7K,3
816,Big Time Early Access Launch Collection,ETH,"1,374.18",-66.43%,-83.66%,0.1,1.6K,3
817,Spectron by Simon De Mai,ETH,"1,373.46",null,null,1.79,208,400
818,MUSHROHMS,ETH,"1,371.23",-100.00%,335.28%,0.59,1.1K,1.5K
819,The Sandbox Mega City LAND Sale,ETH,"1,370.83",null,null,---,3,7
820,"SYLTARE, Frozen",KLAY,"3,601,687.50",null,-100.00%,300,2.5K,9.1K
821,Kaiju Failed Experiments,ETH,"1,368.02",null,205.29%,0.94,260,1.8K
822,Angry Pitbull Club,ETH,"1,364.54",209.14%,19.80%,0.13,5.3K,10.0K
823,Feral File #009 - Unsupervised,ETH,"1,358.31",-41.14%,107.76%,0.47,2.5K,3.4K
824,The mfer chicks,ETH,"1,356.97",55.93%,-0.84%,0.03,2.8K,5.6K
825,Realms of Ether,ETH,"1,349.07",-100.00%,14.30%,6,156,386
826,PunkScapes,ETH,"1,346.83",-29.06%,75.61%,0.14,3.3K,10.0K
827,Fungible Fungi Mint Pass,ETH,"1,341.65",null,7.69%,0.44,250,10.0K
828,Elementals by Michael Connolly,ETH,"1,339.51",null,11.36%,1.25,372,599
829,Toxic Ape Official,KLAY,"3,515,886.51",274.44%,-14.28%,135,2.8K,10.0K
830,Benji Bananas : Membership Pass,ETH,"1,337.08",-8.33%,null,0.24,909,1
831,Noora Health Save Thousands of Lives,ETH,"1,337",null,null,---,1,1
832,Wonky Stonks,ETH,"1,336.89",79.59%,-83.29%,0.05,4.6K,8.7K
833,GenX by HOK,ETH,"1,335.76",-7.16%,-55.55%,0.12,3.0K,10.0K
834,Non-Fungible Fungi Genesis,ETH,"1,333.26",-100.00%,null,3.45,70,100
835,Cool Ape Club Official,ETH,"1,332.82",-91.55%,171.35%,0.03,2.6K,5.6K
836,Heroes of Evermore,ETH,"1,332.28",-67.64%,656.36%,0.05,2.1K,10.0K
837,BlockchainBikers,ETH,"1,331.40",-100.00%,54.41%,< 0.01,4.7K,11.1K
838,Moon Ape Lab Genesis,ETH,"1,331.39",57.97%,7.19%,0.16,1.0K,8.0K
839,My Homies in Dreamland,ETH,"1,325.83",-78.91%,10.03%,0.02,5.1K,10.4K
840,Fast Food Frens Collection,ETH,"1,325.58",-92.04%,204.27%,0.04,1.9K,5.6K
841,Women Unite,ETH,"1,325.43",8.49%,5.88%,0.92,540,224
842,STARKADE: Legion,ETH,"1,323.03",-66.48%,293.01%,0.12,2.0K,7.0K
843,Enigma Economy NFT,ETH,"1,316.04",13.17%,-22.86%,0.21,324,8.0K
844,Critterz Plots,ETH,"1,315.65",205.79%,-31.54%,0.08,1.5K,19.2K
845,CartoonsNFT,ETH,"1,314.18",36.65%,-91.12%,0.04,5.1K,7.8K
846,Fortune Friends Club Official NFT,ETH,"1,313.99",-1.08%,322.69%,0.04,5.6K,8.9K
847,Ember Sword Badge,ETH,"1,307.92",-8.74%,-35.89%,---,5.9K,4
848,Sherbet NFTs,ETH,"1,301.72",67.73%,-25.86%,0.06,3.6K,7.8K
849,Sipherian Flash,ETH,"1,298.45",-2.45%,-2.61%,0.14,3.8K,10.0K
850,TheWhitelist.io - Aces,ETH,"1,294.59",-0.85%,-16.63%,0.04,4.7K,10.0K
851,Foundation (FND),ETH,"1,290.78",null,-88.81%,0.02,17.5K,117.4K
852,Savage Droids,ETH,"1,288.29",-97.54%,259.95%,0.1,2.0K,5.0K
853,Frank Miller: Sin City 30th Anniversary,ETH,"1,286.86",-100.00%,-52.39%,0.1,997,1.8K
854,the sunnies collection,ETH,"1,284.57",-9.05%,-26.93%,0.08,4.7K,9.1K
855,Angry Apes United,ETH,"1,277.18",-62.35%,109.84%,0.02,4.7K,8.9K
856,Cometh Spaceships,ETH,"1,273.88",null,-14.58%,0.08,683,11.4K
857,Decentraland Names,ETH,"1,272.39",1200.00%,7.50%,0.05,13.0K,33.1K
858,Divisions by Michael Connolly,ETH,"1,271.82",null,null,0.65,282,500
859,EvoSnails NFT,ETH,"1,271.63",null,-43.57%,0.01,853,5.6K
860,Flowtys,ETH,"1,268.47",112.50%,-50.73%,0.04,3.8K,10.0K
861,NFP,ETH,"1,267.76",null,null,---,13,94
862,2+2 Genesis,ETH,"1,267.32",null,-59.71%,0.16,1.2K,2.0K
863,Eyes of Fashion Official,ETH,"1,266.68",1313.76%,22.79%,0.04,3.3K,8.9K
864,MOONDOGS ODYSSEY,ETH,"1,264.98",-100.00%,65.03%,0.02,1.9K,5.0K
865,Loveless City Metropass,ETH,"1,257.76",-23.53%,-57.44%,0.41,2.4K,3.3K
866,JPEG Cards,ETH,"1,257.60",-100.00%,-30.40%,1.17,535,1.0K
867,888 by Kevin Abosch,ETH,"1,247.49",null,-100.00%,5,77,109
868,Polka City Asset,ETH,"1,245.36",null,-100.00%,0.89,584,1.4K
869,Vortex by Jen Stark,ETH,"1,240.84",-100.00%,-71.96%,0.51,585,1.0K
870,Mines of Dalarnia Mining Apes Collection,ETH,"1,237.89",-27.39%,-77.20%,0.3,2.5K,3.0K
871,Cozy Penguins NFT,ETH,"1,236.65",426.66%,-55.47%,0.04,3.6K,10.0K
872,Neon District,ETH,"1,236.46",-100.00%,null,< 0.01,2.4K,46.9K
873,Official Dormant Dragons,ETH,"1,235.48",453.95%,6.06%,0.13,1.6K,5.0K
874,RareBunniClub,ETH,"1,233.37",1.12%,-22.87%,0.03,2.0K,5.5K
875,HappyLand Gummy Bears Official,ETH,"1,233.35",-73.35%,-39.52%,< 0.01,4.2K,9.6K
876,RUDE BOYS,ETH,"1,232.94",373.81%,-16.10%,0.1,1.3K,127
877,Imps by SuperNfty,ETH,"1,230.93",-33.21%,53.26%,0.05,4.1K,10.0K
878,Bubble Blobby by Jason Ting,ETH,"1,230.55",-100.00%,null,1.86,330,500
879,Supreme Kong,ETH,"1,228.96",-35.11%,1.49%,0.39,1.1K,2.0K
880,chubbicorns,ETH,"1,228.74",null,null,4.99,181,250
881,OCM Dessert,ETH,"1,228.20",-15.33%,22.59%,0.54,2.8K,3
882,Genzee,ETH,"1,225.21",-34.51%,-12.84%,0.07,3.1K,10.0K
883,Rivermen,ETH,"1,220.96",1094.99%,236.57%,0.09,1.6K,10.0K
884,DumpsterDorks,ETH,"1,220.73",-22.18%,88.68%,0.1,1.9K,5.0K
885,Glue Factory Show,ETH,"1,219.33",3.68%,-69.01%,0.03,3.5K,10.0K
886,Fake Internet Money by Steve Pikelny,ETH,"1,217.31",-100.00%,null,0.25,520,1.0K
887,Wicked Hound Bone Club,ETH,"1,213.89",-55.00%,24.57%,< 0.01,4.1K,11.1K
888,DrugReceipts,ETH,"1,213.74",-30.89%,-77.18%,0.15,3.9K,10.0K
889,Floppy Collection,ETH,"1,213.69",42.12%,-44.35%,0.04,4.9K,10.0K
890,JOYWORLD JOYs,ETH,"1,213.14",null,null,77,53,130
891,Lucky Lion Club Official (LLC),ETH,"1,211.93",-20.34%,-23.65%,0.09,2.5K,4.0K
892,Shabu Town Shibas,ETH,"1,211.45",-42.03%,-50.96%,< 0.01,3.1K,10.0K
893,Bastard Penguins,ETH,"1,206.73",810.00%,-11.43%,< 0.01,3.9K,9.6K
894,Ethernity's Master Collection,ETH,"1,205.77",392.68%,-53.49%,0.01,8.0K,21.4K
895,Fomoverse,ETH,"1,202.66",null,86.19%,3.6,838,1.2K
896,Rob Gronkowski Championship Series NFTs,ETH,"1,202.33",-100.00%,null,1.99,103,349
897,27-Bit Digital by kai,ETH,"1,200.76",null,-100.00%,0.25,521,1.0K
898,Genesis isoroom,ETH,"1,200.45",206.68%,-46.57%,0.22,299,3.0K
899,Chubbiverse Frens,ETH,"1,199.30",63.88%,47.82%,0.08,2.5K,8.9K
900,Octo Garden by Rich Lord,ETH,"1,197.55",null,-100.00%,0.59,240,333
901,Evolved Apes Inc,ETH,"1,196.22",134.27%,172.49%,0.03,4.2K,10.0K
902,Metaverse Psychedelics Anonymous Pass,ETH,"1,192.11",157.56%,-56.71%,0.35,5.5K,9.6K
903,Golden Token Crypto New Yorkers,ETH,"1,191.88",null,null,---,34,840
904,sLoot (Loot for Scammers),ETH,"1,188.50",null,null,---,2.1K,7.8K
905,Krazy Koalas NFT,ETH,"1,186.39",3.60%,-43.98%,< 0.01,3.9K,10.0K
906,LordSocietyNFT Official,ETH,"1,183.60",73.80%,65.75%,< 0.01,5.2K,7.8K
907,Phototaxis by Casey REAS,ETH,"1,182.42",-4.55%,120.75%,0.21,622,1.0K
908,Champs Only,ETH,"1,179.94",100.78%,-10.32%,1.38,1.3K,1
909,Non-Fungible Fungi Collection,ETH,"1,178.19",37.89%,58.56%,0.12,3.5K,9.6K
910,Dego Finance,ETH,"1,178.15",-100.00%,null,< 0.01,26.3K,52.1K
911,Pixlton - The Awkward NFT Town,ETH,"1,177.95",-35.52%,299.68%,0.1,1.6K,5.5K
912,Infinite Realm Official,ETH,"1,177.91",20.35%,-26.18%,0.02,3.1K,7.7K
913,DO NOT BUY. MIGRATION IN PROGRESS.,ETH,"1,177.21",null,null,---,5,334
914,Crash Test Joyride,ETH,"1,176.99",-16.41%,-7.84%,0.07,2.2K,4.4K
915,DEGENERATE/REGENERATE,ETH,"1,176.51",338.81%,-40.50%,0.1,4.1K,7.4K
916,Wrapped CryptoCats Official,ETH,"1,174.94",null,null,3.8,157,303
917,The Jims,ETH,"1,173.91",32.27%,16.66%,0.14,1.0K,2.0K
918,Roaring Leaders,ETH,"1,171.51",306.55%,-64.62%,0.04,1.6K,8.2K
919,Clay Friends,ETH,"1,170.32",110.19%,-73.27%,0.12,3.1K,5.0K
920,IRL Psychedelics Anonymous Pass,ETH,"1,167.39",681.67%,-34.61%,0.31,5.6K,9.6K
921,Cryptoshack Club,ETH,"1,167.23",-37.15%,52.34%,0.22,1.7K,5.9K
922,8 BIT UNIVERSE,ETH,"1,166",null,10.00%,< 0.01,3.5K,8.9K
923,"SYLTARE, Dawn of East",KLAY,"3,063,433.48",131.83%,145.98%,1500,2.3K,9.3K
924,Rituals - Venice by Aaron Penne x Boreta,ETH,"1,164.80",null,-6.06%,0.33,633,1.0K
925,Sabet,ETH,"1,164.12",212.00%,-18.62%,0.25,1.1K,183
926,House Of Legends,ETH,"1,163.34",303.14%,9.11%,0.06,2.7K,10.0K
927,Zora,ETH,"1,162.75",null,-99.92%,0.01,4.1K,8.2K
928,Warriors of Aradena,ETH,"1,161.13",-23.41%,8.22%,0.07,2.0K,8.0K
929,Cyber Turtles Genesis,ETH,"1,156.14",81.30%,2.90%,0.27,293,5.6K
930,Polymorphs,ETH,"1,154.19",24.20%,-19.10%,0.14,2.2K,10.0K
931,AnonymiceBreeding,ETH,"1,152.40",16.97%,-43.43%,0.38,1.8K,3.6K
932,thedudes,ETH,"1,150.50",null,null,1.1,162,512
933,Crypto Hodlers NFT,ETH,"1,146.49",25.65%,50.85%,0.02,2.2K,10.0K
934,NounPunks.eth,ETH,"1,145.54",-45.49%,-59.26%,0.02,4.2K,10.0K
935,White Sands Parcel Pass,ETH,"1,143.71",-62.82%,392.57%,0.82,2.1K,3.0K
936,CyberFrogz,ETH,"1,142.59",-52.64%,-79.40%,0.03,2.5K,5.6K
937,ETHEREALS WTF,ETH,"1,138.18",-31.61%,-38.89%,0.03,3.9K,12.3K
938,Derpy Birbs,ETH,"1,136.19",183.33%,1.67%,< 0.01,1.8K,8.2K
939,Cool Cats Collabs,ETH,"1,132.19",-66.01%,48.12%,0.05,5.9K,18
940,Legends of Venari Alpha Pass,ETH,"1,130.06",246.35%,1.04%,0.29,1.3K,3.2K
941,BitcoinBillionaires,ETH,"1,129.40",56.63%,70.22%,0.06,4.8K,13.3K
942,Encryptas,ETH,"1,125.61",-31.25%,-11.57%,0.04,3.9K,10.0K
943,Fusion by Hideki Tsukamoto,ETH,"1,124.66",-28.81%,1459.52%,0.3,595,1.0K
944,Crypto Duckies,ETH,"1,122.49",35.20%,169.65%,0.06,1.8K,5.0K
945,Freaks N' Guilds - Celestial Keys,ETH,"1,119.31",-29.18%,197.18%,0.14,445,4.4K
946,MINDDS,ETH,"1,117.60",177.78%,211.35%,0.12,375,305
947,SKULLTOONS Gavroche by Theodoru,ETH,"1,117.19",5377.58%,null,0.22,5.4K,7.7K
948,Degenz,ETH,"1,114.33",-62.27%,-40.65%,0.21,1.7K,11.1K
949,Bad Face Bots,ETH,"1,114.24",-45.70%,-49.77%,0.2,2.6K,5.6K
950,Ignition by ge1doot,ETH,"1,112.91",null,null,1.8,212,512
951,ZombieCats,ETH,"1,109.87",21.27%,401.94%,0.04,1.9K,10.0K
952,Audioglyphs,ETH,"1,109.03",null,-51.03%,0.07,2.7K,10.0K
953,Synthetic Dreams by Refik Anadol,ETH,"1,105.46",100.57%,279.92%,1.85,605,1.0K
954,RaidParty Heroes [Unmigrated],ETH,"1,103.49",null,null,---,1,1
955,RugBurn,ETH,"1,100.28",8.45%,269.94%,0.99,760,999
956,HUXLEY Robots,ETH,"1,099.48",-2.33%,353.91%,5,521,1.0K
957,Unstoppable Domains,ETH,"1,099.08",-99.00%,-40.57%,< 0.01,64.7K,319.1K
958,freshdrops,ETH,"1,097.45",null,40.72%,---,486,1
959,Moose Trax,ETH,"1,096.32",null,-62.96%,< 0.01,944,10.0K
960,Jiometory No Compute - ?¸ã‚ª?¡ãƒˆ?????±ã‚¤?µãƒ³?µãƒ¬?žã‚»??by Samsy,ETH,"1,096.22",null,-52.83%,0.4,602,1.0K
961,GEN.ART Drop Collection,ETH,"1,092.17",105.10%,32.46%,0.02,2.4K,11.2K
962,Spiky Space Fish United,ETH,"1,091.71",-77.84%,-64.03%,0.04,3.3K,10.0K
963,FLUF World: Scenes & Sounds,ETH,"1,088.80",24.04%,114.09%,0.02,2.9K,58
964,The Club721,ETH,"1,083.85",-7.37%,-28.44%,0.11,1.8K,2.0K
965,KokoDi_NFT,ETH,"1,077.93",180.87%,-22.14%,0.04,1.9K,5.6K
966,Brushpops by Matty Mariansky,ETH,"1,073.84",null,-1.44%,0.1,712,1.0K
967,MetaDogeClub,ETH,"1,073.80",null,-100.00%,0.06,1.2K,2.4K
968,MonkeVerse,ETH,"1,068.51",-91.07%,-57.98%,0.02,1.6K,3.3K
969,Generascope,ETH,"1,068.02",null,58.40%,0.54,510,1.1K
970,Influence Asteroids,ETH,"1,066.50",-67.30%,18.31%,0.03,2.3K,11.1K
971,celestial cyclones by hideo,ETH,"1,066.04",null,-100.00%,0.38,314,628
972,Quadrums,ETH,"1,064.49",null,-100.00%,0.04,563,1.0K
973,CyberBabies.io,ETH,"1,063.61",null,-48.27%,0.72,482,500
974,The Divine Order Of the Zodiac,ETH,"1,062.46",-100.00%,-0.48%,0.01,3.6K,10.0K
975,THE REAL GOAT SOCIETY,ETH,"1,061.49",-60.07%,142.27%,0.08,3.5K,7.8K
976,Candy Hunters,ETH,"1,057.47",-33.14%,1278.89%,0.03,4.6K,10.0K
977,CatBlocks by Kristy Glas,ETH,"1,055.64",null,-29.49%,0.38,301,512
978,Golden Token Incomplete Control,ETH,"1,055.42",null,null,---,3,100
979,CryptoFlyz,ETH,"1,055.08",60.00%,-31.98%,0.03,3.1K,7.0K
980,The Forgotten Runes Infinity Veil,ETH,"1,049.63",-100.00%,-74.74%,---,437,1
981,Vegas City,ETH,"1,048.50",null,null,---,22,138
982,Super Shiba Club,ETH,"1,046.50",840.00%,-5.82%,< 0.01,2.9K,10.0K
983,Spirit Orb Pets v0,ETH,"1,045.44",null,null,0.05,372,777
984,NimBuds by Bryan Brinkman,ETH,"1,042.91",null,-100.00%,2.49,246,400
985,NFT Bored Bad Bunny,ETH,"1,042.03",235.50%,-41.75%,< 0.01,7.0K,10.6K
986,HENI: Damien Hirst - The Empresses,ETH,"1,041.29",-58.50%,-24.10%,0.95,716,1.3K
987,Wrapped Curio Cards,ETH,"1,037.71",-100.00%,-67.42%,---,239,14
988,RTFKT Creators,ETH,"1,037.34",null,null,---,91,13
989,Echoes of Empire,ETH,"1,037.31",-98.08%,-44.99%,---,2.6K,25
990,Dirtybird Flight Club,ETH,"1,035.21",88.18%,-47.40%,0.02,3.6K,9.1K
991,Legacy,ETH,"1,034.33",-100.00%,9.30%,0.21,2.5K,6
992,Genesis Mana (for Loot),ETH,"1,031.75",-85.92%,-13.09%,0.27,625,10.2K
993,NFT Art,ETH,"1,031.13",null,null,---,43,77
994,War Riders,ETH,"1,030.74",null,-45.59%,< 0.01,1.8K,19.4K
995,Larva Doods,ETH,"1,026.09",217.83%,61.25%,< 0.01,4.2K,8.9K
996,Never Fear Truth by Johnny Depp,ETH,"1,022.16",81.48%,-58.54%,0.37,2.2K,3.9K
997,CryptoZilla,ETH,"1,022.05",null,-100.00%,0.25,230,1.0K
998,CryptoSergs Archive,ETH,"1,021.91",null,null,---,336,1.1K
999,My Fucking Pickle,ETH,"1,018.29",78.49%,40.63%,0.03,2.7K,10.0K
1000,FoxyFam,ETH,"1,016.88",-23.50%,-77.30%,0.04,1.3K,3.3K
1001,Monster Blocks - Official,ETH,"1,015.72",-42.78%,3806.60%,0.01,2.0K,9.0K
1002,YOLO-Cat-Club,ETH,"1,014.22",-100.00%,-7.92%,0.98,398,436
1003,Cyber Curated,ETH,"1,013.25",null,null,15.5,74,3
1004,Kohi Kintsugi,ETH,"1,010.54",-100.00%,325.73%,0.35,538,1.0K
1005,HOK Main,ETH,"1,006.11",-70.42%,74.02%,0.08,1.2K,4.2K
1006,ThorGuards,ETH,"1,003.08",50.35%,1183.18%,0.1,3.1K,10.0K
1007,Inertial Moment,ETH,"1,002.85",null,null,---,112,150
1008,BYOVape,ETH,"1,002.39",71.02%,-37.01%,0.29,2.8K,1
1009,Crypto Corgis,ETH,"1,001.35",-33.56%,-75.03%,0.03,4.2K,10.0K
1010,UnStackedToadz,ETH,999.49,null,-100.00%,---,451,10.0K
1011,Sneaky Vampiress Syndicate,ETH,997.89,153.93%,6.14%,0.08,5.6K,12.3K
1012,Pop Wonder Editions,ETH,997.59,-100.00%,-51.14%,0.33,627,32
1013,Fudders,ETH,996.75,-40.86%,22.54%,0.05,2.8K,6.5K
1014,The Evolving Forest Genesis,ETH,995.64,null,-39.82%,0.05,1.4K,9.3K
1015,DAPE: Genesis,ETH,993.92,-4.83%,-80.58%,0.34,1.6K,2.4K
1016,Wave Schematics by luxpris,ETH,991.56,null,null,0.2,261,400
1017,Baby Shiba Social Club Official,ETH,991,-38.52%,-18.31%,0.02,5.6K,8.9K
1018,SamuraiCats by Hiro Ando,ETH,988.9,198.36%,-4.31%,0.03,2.0K,4.7K
1019,AMBUSH OFFICIAL POW! REBOOT,ETH,988.86,171.91%,-82.41%,0.16,1.3K,2.0K
1020,Neo Tokyo Outer Item Caches,ETH,987.71,-71.28%,-28.64%,0.29,3.8K,4.3K
1021,ConiunPass,ETH,986.79,0.58%,-52.43%,0.36,3.7K,6.3K
1022,Lonely Frog Lambo Club,ETH,986.71,-58.67%,48.07%,0.02,3.6K,10.0K
1023,GalacticApes Genesis,ETH,984.44,null,-100.00%,---,91,151
1024,Dogg on it: Death Row Mixtape Vol. 1,ETH,983.71,-42.37%,-67.29%,0.02,4.1K,247
1025,Psychedelics Anonymous Printing Press,ETH,982.23,51.33%,23.04%,1.35,4.5K,6.9K
1026,UglySweaters OFFICIAL,ETH,980.75,59.37%,15.41%,0.17,1.5K,65
1027,//CreativeWorkStudios.,ETH,978.45,-47.11%,89.37%,0.31,904,5
1028,TOKYO PUNKS by SABET,ETH,973.34,31.64%,72.27%,0.08,2.8K,4.9K
1029,KINGS OF LEON x YELLOWHEART,ETH,969.68,null,null,---,382,25
1030,xmfers,ETH,968.93,-30.12%,-54.01%,< 0.01,2.5K,7.0K
1031,Bitchcoin,ETH,968.77,-100.00%,229.09%,1.93,269,3.3K
1032,LaserCat NFT,ETH,968.14,-17.86%,109.15%,2.88,156,520
1033,Arabian Camels,ETH,967.77,-49.51%,-25.25%,0.05,3.2K,12.0K
1034,Wunks,ETH,967.54,105.14%,17.27%,0.02,2.9K,6.0K
1035,BlockArt,ETH,965.23,2100.00%,30.03%,0.02,2.8K,10.7K
1036,Crookz by NIXON,ETH,963.24,-36.88%,-46.46%,0.04,4.1K,10.0K
1037,G.I. Toadz,ETH,963.11,19.95%,6.38%,0.04,2.7K,7.0K
1038,Paradise Trippies,ETH,961.98,331.95%,-53.22%,0.05,1.9K,10.0K
1039,ChainFaces,ETH,960.56,-12.27%,-15.33%,0.12,1.3K,10.0K
1040,Crypto.Chick,ETH,958.28,null,183.96%,4,150,200
1041,Milady Maker,ETH,957.46,193.08%,9.09%,0.44,2.1K,9.7K
1042,The-Companion,ETH,956.59,28900.00%,-32.21%,< 0.01,5.1K,8.9K
1043,The Door of Dimension,KLAY,"2,513,165.99",-44.21%,52.56%,1100,2.8K,10.0K
1044,Castle Kid By Colin Tilley,ETH,955.49,-12.87%,-66.74%,0.03,4.7K,10.0K
1045,CATBOTICA,ETH,955.42,41.52%,29.84%,0.13,1.9K,12.0K
1046,DeRace Jockey Club,ETH,952.91,-43.07%,-47.61%,0.15,1.8K,5.0K
1047,TURTLE TOWN NFT,ETH,952.01,-8.56%,-36.18%,0.03,4.3K,10.0K
1048,Elemental by Fang Lijun,ETH,946,57.94%,98.71%,0.6,1.2K,2.0K
1049,SALT V4,ETH,944.2,null,null,3.5,125,180
1050,Gyre by Shvembldr,ETH,942.19,null,null,---,88,140
1051,Crypto Unicorns Shadowcorns,ETH,937.87,49.79%,258.98%,< 0.01,13.2K,33
1052,Chainbreakers,ETH,935.74,null,null,---,1.2K,3.7K
1053,weape24,ETH,935.15,2.63%,-29.07%,< 0.01,4.1K,9.9K
1054,BEEPLE - SPRING/SUMMER COLLECTION 2021,ETH,934.98,null,-72.93%,---,151,511
1055,Picks Passport,ETH,933.42,-33.49%,1.92%,0.6,1.2K,1
1056,Based Fish Mafia,ETH,930.9,54.26%,-31.71%,0.06,2.4K,10.0K
1057,CryptoPochi,ETH,924.75,-100.00%,-64.52%,0.44,432,732
1058,Crypto Raiders MOBS,ETH,923.09,-59.40%,-70.78%,0.12,1.6K,12.6K
1059,The Soldiers Of The Metaverse,ETH,922.55,-100.00%,-36.53%,0.01,2.5K,7.5K
1060,BULLSEUM,ETH,919.93,10.02%,16.25%,0.08,2.0K,5.0K
1061,Eccentrics by Radix,ETH,916.28,null,null,0.5,194,400
1062,DarkEchelon,ETH,914.67,-30.40%,61.74%,4.5,482,520
1063,Lil Pudgys,ETH,913.84,779.82%,49.63%,0.05,6.4K,19.1K
1064,RTFKT Capsule Space Drip,ETH,908.6,null,null,10,105,152
1065,Monaverse,ETH,908.56,-100.00%,48.42%,0.07,702,1.2K
1066,The Sandbox Web3 LAND Sale,ETH,907.84,null,-100.00%,---,6,8
1067,Elite Ape Entry Coins,ETH,906.83,46.86%,69.90%,0.1,8.7K,1
1068,Soul Cafe Official,ETH,905.29,20.16%,-34.64%,0.06,1.3K,3.3K
1069,Boxing Boyz Metaverse,ETH,901.37,166.46%,15.75%,0.07,2.4K,5.0K
1070,Spritely - Genesis Collection,ETH,899.36,-22.20%,-10.68%,0.04,2.1K,6.0K
1071,Skvllpvnkz Hideout,ETH,898.86,428.56%,-55.78%,0.05,3.3K,10.0K
1072,Pixlverse Items,ETH,898.31,224.27%,-2.76%,0.03,1.5K,18
1073,Squiggles Collection Official,ETH,898.05,null,null,---,2.1K,5.0K
1074,BlankFace,ETH,896.29,null,-55.92%,< 0.01,5.3K,10.0K
1075,trevorjonesart,ETH,894.19,null,-30.47%,---,580,5.1K
1076,Lucky Maneki,ETH,893.69,null,-27.49%,0.01,3.1K,14.2K
1077,Demi-Human NFT,ETH,893,-36.68%,-5.19%,0.13,4.1K,10.0K
1078,Council of Kingz Official,ETH,886.5,-34.81%,-11.89%,0.37,1.7K,7.8K
1079,EMPWR,ETH,886.33,-100.00%,741.41%,0.04,480,1.1K
1080,Northern Guilds - Guild of Thor,ETH,884.94,-81.82%,222.21%,0.04,3.0K,10.0K
1081,nightkids,ETH,882.21,null,1916.38%,< 0.01,2.2K,5.6K
1082,CryptoFighters,ETH,881.57,null,635.19%,0.35,1.3K,5.0K
1083,SUN SIGNALS,ETH,881.4,-8.16%,-59.83%,0.65,439,1.0K
1084,Wanna Panda,ETH,881.13,null,-62.37%,0.01,3.0K,10.0K
1085,Slumdoge Billionaires,ETH,880.84,null,42.79%,0.02,2.5K,10.0K
1086,Aether,ETH,878.92,null,null,---,349,792
1087,Doodled Punks (DUNKS),ETH,878.19,null,-31.16%,0.02,1.1K,2.5K
1088,TBAC,ETH,875.84,12.24%,4229.76%,0.19,2.3K,10
1089,Non Fungible Tools Lifetime Membership,ETH,873.91,-28.13%,-8.17%,0.82,1.1K,1
1090,GCF X GALA GAMES,ETH,873.29,248.46%,13.99%,0.1,1.5K,5
1091,WLTH DAO,ETH,871.67,null,-100.00%,0.7,367,1
1092,CanineCartel,ETH,869.73,400.00%,-2.12%,< 0.01,4.4K,10.0K
1093,Cat and Mouse Game - Gen0,ETH,868.29,-100.00%,-80.00%,< 0.01,406,6.5K
1094,Quantum Key,ETH,867.73,91.95%,-87.15%,2,881,1.0K
1095,Return by Aaron Penne,ETH,867.58,-100.00%,null,3,131,300
1096,888 Inner Circle The Drops,ETH,867.14,382.62%,-62.57%,< 0.01,7.1K,7.2K
1097,Brian NFTS Collection By Braindom,ETH,866.86,-76.57%,-23.78%,0.15,2.0K,5.0K
1098,The Underground Sistine Chapel by Pascal Boyart,ETH,866.06,null,null,1.74,219,404
1099,WE ARE KLOUD,ETH,863.2,146.44%,-94.51%,0.07,2.4K,5.0K
1100,Unravelling: Void Attractors,ETH,862.55,null,-100.00%,0.2,214,569
1101,Wabi Sabi Collective Genesis,ETH,861.31,1002.99%,-8.07%,0.12,3.1K,5.7K
1102,Ape Harmony Monster Club,ETH,861.21,-100.00%,9.86%,0.29,443,1.1K
1103,The Sandbox Snoop Dogg LAND Sale,ETH,859.83,null,null,---,3,7
1104,0xZuki,ETH,853.42,-78.81%,4.13%,0.02,4.0K,10.0K
1105,Citizens of Bulliever Island,ETH,850.03,-77.36%,-56.19%,0.16,2.3K,10.0K
1106,Squiggly,ETH,849.97,null,null,55,54,100
1107,LIQUID METAL by TRIPLE SIX,ETH,849.48,63.84%,656.92%,0.05,2.5K,6.7K
1108,The Glitches NFT,ETH,848.68,-100.00%,-97.79%,0.01,2.9K,5.0K
