Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
69,Coolman's Universe,ETH,"21,609.56",-74.39%,-49.32%,1.44,5.7K,10.0K
70,Cool Pets NFT,ETH,"21,544.90",-39.53%,46.54%,1.36,10.1K,18.7K
71,Metroverse Genesis,ETH,"21,124.27",99.37%,48.47%,1.57,387,10.0K
72,Gutter Cat Gang,ETH,"20,941.52",-44.28%,151.31%,9,1.8K,3.0K
73,RTFKT - MNLTH,ETH,"20,937.20",-9.91%,115.06%,6.27,8.9K,1
74,Worldwide Webb Land,ETH,"20,843.29",-37.56%,11.10%,1.8,4.9K,9.5K
75,Killer GF,ETH,"20,818.21",-26.03%,14.46%,0.28,4.1K,7.8K
76,888 inner circle,ETH,"20,427.26",39.53%,9.02%,0.42,2.5K,1
77,Wolf Game,ETH,"20,156.17",-9.63%,100.88%,0.85,634,13.7K
78,Adam Bomb Squad,ETH,"19,946.29",-51.49%,-18.30%,0.58,8.6K,25.0K
79,CryptoSkulls,ETH,"19,766.18",252.57%,101.82%,1.44,4.2K,10.0K
80,Psychedelics Anonymous Genesis,ETH,"19,314.30",45.45%,-2.96%,3.1,6.0K,9.6K
81,NeoTokyo Outer Identities,ETH,"19,251.36",146.24%,-51.43%,1.9,4.1K,4.5K
82,CyberBrokers,ETH,"19,207.31",-4.43%,-82.41%,2.14,3.7K,10.0K
83,Treeverse,ETH,"18,828.79",-24.62%,-14.97%,---,4.7K,20.3K
84,JUNGLE FREAKS BY TROSLEY,ETH,"18,580.05",16.83%,-34.44%,0.35,2.0K,10.0K
85,Autoglyphs,ETH,"18,568.06",null,null,179,152,512
86,GalacticApes,ETH,"18,077.22",213.69%,30.74%,0.06,3.7K,10.0K
87,Lil' Heroes by Edgar Plans,ETH,"17,511.27",-56.15%,61.52%,0.76,4.2K,7.8K
88,Damien Hirst - The Currency,ETH,"17,503.42",217.19%,53.47%,4.29,1.8K,2.2K
89,MoonCats,ETH,"17,024.78",194.68%,-59.00%,0.42,5.6K,19.0K
90,VOX Collectibles: Mirandus,ETH,"16,921.46",56.22%,-28.37%,0.98,4.0K,8.4K
91,Meridian by Matt DesLauriers,ETH,"16,760.39",47.82%,71.73%,5.6,611,1.0K
92,Rumble Kong League,ETH,"16,657.76",-67.12%,37.30%,1.62,3.2K,10.0K
93,CryptoBatz by Ozzy Osbourne,ETH,"16,644.76",-8.07%,7.45%,0.3,6.7K,9.7K
94,MutantCats,ETH,"16,235.44",-4.32%,45.16%,0.23,1.5K,10.0K
95,MakersPlace,ETH,"15,961.17",-49.58%,44.78%,0.03,15.7K,83.2K
96,CRYPTOPUNKS V1 (Wrapped),ETH,"15,864.54",-75.40%,null,15.1,651,2.3K
97,Mirandus,ETH,"15,834.11",44.28%,47.49%,0.07,14.9K,182
98,tubby cats by tubby collective,ETH,"15,383.77",76.92%,-31.47%,0.4,9.8K,20.0K
99,Robotos,ETH,"15,007.53",-45.03%,25.18%,0.79,5.7K,10.0K
100,HYPEBEARSCLUB.OFFICIAL,ETH,"14,978.53",97.61%,-62.43%,0.09,4.8K,10.0K
101,Bears Deluxe Old,ETH,"14,893.55",null,-69.79%,1.38,418,6.9K
102,Galaxy-Eggs,ETH,"14,706.79",169.18%,101.65%,0.15,4.9K,10.0K
103,Anonymice,ETH,"14,680.81",-73.29%,-33.24%,1.25,336,10.0K
104,Neo Tokyo Identities,ETH,"14,334.69",null,-16.68%,12.49,58,2.0K
105,JRNY CLUB OFFICIAL,ETH,"13,907.68",142.58%,-71.16%,1.69,6.6K,10.0K
106,Treeverse Plots,ETH,"13,651.40",-43.80%,-11.58%,1.23,3.8K,10.4K
107,Wolf Game Legacy,ETH,"13,633.07",null,null,20.22,15,13.8K
108,C-01 Official Collection,ETH,"13,574.14",63.02%,-28.82%,0.2,5.0K,8.9K
109,MetaHero Universe: Generative Identities,ETH,"13,512.19",47.95%,61.96%,4.1,277,6.5K
110,FULL SEND METACARD NFT,ETH,"13,467.18",-4.43%,-31.21%,0.83,7.3K,10.0K
111,ENS: Ethereum Name Service,ETH,"13,436.88",224.74%,70.16%,< 0.01,300.7K,664.8K
112,Pixelmon - Generation 1,ETH,"13,207.34",5.35%,-38.32%,0.21,5.3K,10.0K
113,CryptoMories,ETH,"13,116.98",39.84%,15.23%,0.54,5.2K,9.9K
114,Boss Beauties,ETH,"13,070.91",-17.21%,-17.65%,1.5,5.5K,10.0K
115,Koala Intelligence Agency,ETH,"12,974.24",-47.60%,-44.05%,0.09,5.0K,10.0K
116,Fragments of an Infinite Field by Monica Rizzolli,ETH,"12,803.94",null,-25.84%,2.6,572,1.0K
117,RaidParty Heroes,ETH,"12,706.97",168.63%,58.25%,0.99,974,5.3K
118,Crypto Bull Society,ETH,"12,480.35",-45.31%,-52.92%,0.2,4.5K,7.8K
119,OxyaOriginProject,ETH,"12,441.14",-24.75%,-8.70%,0.18,3.0K,7.9K
120,Cyber Factory 2,ETH,"12,419.86",53.34%,24.62%,0.62,9.4K,5
121,My Pet Hooligan,ETH,"12,374.39",-8.79%,70.89%,1.25,5.1K,8.9K
122,The Heart Project,ETH,"12,290.77",-31.70%,33.77%,0.3,5.9K,9.9K
123,The Humanoids,ETH,"12,273.53",-3.99%,-36.57%,0.09,3.9K,10.0K
124,Frontier Game,ETH,"12,247.13",-26.85%,-15.88%,0.05,7.3K,56
125,Creepz Shapeshifterz,ETH,"12,158.31",-96.39%,488.52%,0.12,1.3K,2.5K
126,Crypto.Chicks,ETH,"12,093.13",502.11%,283.47%,0.73,4.5K,10.0K
127,The Sevens (Official),ETH,"12,076.24",-87.82%,-42.10%,0.1,3.2K,7.0K
128,Chain Runners,ETH,"12,062.95",-30.87%,-10.44%,0.9,3.3K,10.0K
129,THE SHIBOSHIS,ETH,"11,909.78",-10.53%,-14.55%,0.68,3.6K,10.0K
130,PEACEFUL GROUPIES,ETH,"11,893.66",-10.04%,-17.46%,0.16,2.3K,10.0K
131,Forgotten Runes Wizards Cult,ETH,"11,863.02",511.67%,-65.54%,2.3,2.8K,9.4K
132,Tom Sachs Rocket Factory,ETH,"11,796.34",74.51%,685.60%,2,578,1.8K
133,Chromie Squiggle by Snowfro,ETH,"11,498.25",-81.72%,130.09%,6.94,2.3K,9.3K
134,Desperate ApeWives,ETH,"11,186.33",92.61%,-33.53%,0.29,4.6K,10.0K
135,inBetweeners by GianPiero,ETH,"11,122.31",31.99%,17.25%,0.32,5.7K,10.8K
136,The CryptoDads,ETH,"11,029.97",56.13%,-28.37%,0.19,7.3K,10.0K
137,Project NANOPASS,ETH,"11,013.53",-15.32%,59.44%,2.27,4.0K,5.6K
138,Wizards & Dragons Game (WnD),ETH,"11,000.64",45.85%,-62.95%,0.02,3.5K,46.2K
139,RaidParty Fighters,ETH,"10,959.23",82.00%,6.41%,1.09,385,9.7K
140,Animetas,ETH,"10,856.39",96.67%,102.07%,0.16,4.1K,10.1K
141,FVCK_CRYSTAL//,ETH,"10,854.81",160.82%,57.50%,1.39,2.3K,4.2K
142,Ape Kids Club (AKC),ETH,"10,838.71",-58.19%,29.42%,0.12,5.2K,10.0K
143,MetaHero Universe: United Planets,ETH,"10,597.49",-30.38%,-56.04%,0.1,12.1K,11
144,The n project,ETH,"10,549.51",44.38%,-46.04%,0.06,1.8K,8.9K
145,the littles NFT,ETH,"10,478.15",27.88%,-59.21%,0.41,5.6K,10.0K
146,Archetype by Kjetil Golid,ETH,"10,476.88",null,-100.00%,10,318,600
147,Tasty Bones XYZ,ETH,"10,275.51",336.22%,120.99%,0.89,3.5K,5.0K
148,GEN.ART Membership,ETH,"10,128.26",-0.21%,-8.70%,0.24,2.4K,5.1K
149,MURI by Haus,ETH,"10,032.32",1776.78%,860.11%,0.93,6.6K,10.0K
150,Creepz Reptile Armoury,ETH,"9,968.73",-83.11%,-13.61%,0.16,282,20.0K
151,Rug Radio - Genesis NFT,ETH,"9,954.73",-33.08%,235.86%,0.47,10.2K,20.0K
152,Blitmap,ETH,"9,875.12",null,406.50%,6.9,603,1.7K
153,TIMEPieces Build a Better Future: Genesis Drop,ETH,"9,840.75",-54.73%,121.68%,0.3,2.9K,4.7K
154,Gambling Apes,ETH,"9,685.11",13.16%,-18.76%,0.39,3.8K,7.8K
155,Smilesssvrs ::),ETH,"9,636.93",29.81%,41.91%,0.93,4.5K,8.7K
156,Geometry Runners by Rich Lord,ETH,"9,628.42",-100.00%,1545.26%,1.1,688,1.0K
157,Neo Tokyo Part 2 Vault Cards,ETH,"9,492.13",null,-71.01%,2,402,2.5K
158,Decentral Games ICE Poker,ETH,"9,472.30",25.94%,83.14%,1.5,4.1K,22.3K
159,ALPACADABRAZ,ETH,"9,393.69",-13.01%,1.36%,0.46,4.4K,9.7K
160,The Meta Key,ETH,"9,381.08",101.25%,16.13%,0.2,6.1K,4
161,WonderPals,ETH,"9,322.09",-0.76%,-42.90%,0.5,7.0K,10.0K
162,Cool Monkes Genesis,ETH,"9,276.24",-8.95%,-42.89%,0.18,828,10.0K
163,SlimHoods,ETH,"9,273.37",1.18%,-37.19%,0.6,2.8K,5.0K
164,THE META KONGZ,KLAY,"24,352,358.47",-54.90%,-34.77%,15999,2.8K,10.0K
165,SUPERPLASTIC: Cryptojankyz,ETH,"9,262.78",-66.81%,150.89%,0.2,5.8K,13.9K
166,The Wicked Craniums,ETH,"9,223.57",27.76%,-81.69%,0.14,4.5K,10.8K
167,OnChainMonkey,ETH,"9,212.11",-77.81%,-25.77%,1.75,3.0K,9.5K
168,Wrapped Cryptopunks,ETH,"9,179.77",null,null,---,59,344
169,ASM AIFA Genesis,ETH,"9,172.42",-21.51%,85.42%,6.19,793,10.0K
170,NFT Bored Bunny,ETH,"9,152.99",1256.70%,-2.80%,0.05,3.7K,5.0K
171,MoodRollers by Lucas Zanotto,ETH,"9,142.67",1.26%,-11.10%,0.43,2.8K,5.0K
172,hausphases by Haus,ETH,"8,993.11",920.25%,75.59%,0.87,5.0K,7.8K
173,Bloot (not for Weaks),ETH,"8,980.44",4494.58%,-54.73%,0.1,3.9K,8.0K
174,Winter Bears,ETH,"8,978.06",239.11%,-25.60%,0.08,4.6K,10.0K
175,Wassies by Wassies,ETH,"8,816.15",35.38%,71.99%,0.72,2.6K,9.5K
176,GEVOLs,ETH,"8,785.51",-41.48%,-60.52%,0.13,3.7K,8.9K
